data_hora,timestamp_ms,umidade_solo,temperatura,leitura_ldr,ph,botao_N,botao_P,botao_K,bomba_ligada
2024-09-01 00:00:00,0,32.91,15.93,905,7.16,false,false,false,false
2024-09-01 00:02:00,2000,26.41,17.25,594,5.96,false,false,false,true
2024-09-01 00:04:00,4000,38.64,17.60,753,7.71,false,false,false,false
2024-09-01 00:06:00,6000,38.46,16.79,517,6.66,false,false,false,false
2024-09-01 00:08:00,8000,39.03,18.31,1259,6.04,false,false,false,false
2024-09-01 00:10:00,10000,43.26,16.01,613,5.52,false,false,false,false
2024-09-01 00:12:00,12000,41.75,16.60,1365,6.21,false,false,false,false
2024-09-01 00:14:00,14000,38.14,15.00,786,7.48,false,false,false,false
2024-09-01 00:16:00,16000,26.66,19.31,943,6.19,false,false,false,false
2024-09-01 00:18:00,18000,28.73,16.29,654,7.54,false,false,false,false
2024-09-01 00:20:00,20000,29.04,19.31,1235,7.43,false,false,false,false
2024-09-01 00:22:00,22000,33.45,16.07,1010,5.98,false,false,false,true
2024-09-01 00:24:00,24000,44.15,15.18,602,7.85,false,false,false,false
2024-09-01 00:26:00,26000,25.92,18.60,1651,7.21,false,false,false,false
2024-09-01 00:28:00,28000,38.07,15.00,1215,7.46,false,false,false,false
2024-09-01 00:30:00,30000,34.49,16.95,1441,7.71,false,false,false,false
2024-09-01 00:32:00,32000,36.95,18.44,511,6.62,false,false,false,false
2024-09-01 00:34:00,34000,25.25,17.82,1701,6.19,false,false,false,false
2024-09-01 00:36:00,36000,43.53,15.19,1707,7.78,false,false,false,false
2024-09-01 00:38:00,38000,35.22,18.32,679,6.38,false,true,false,false
2024-09-01 00:40:00,40000,31.45,16.37,1498,7.70,false,false,false,false
2024-09-01 00:42:00,42000,29.36,16.41,874,7.74,false,false,true,false
2024-09-01 00:44:00,44000,34.94,19.20,1351,9.00,true,false,false,true
2024-09-01 00:46:00,46000,25.71,15.00,928,6.76,false,false,false,false
2024-09-01 00:48:00,48000,44.86,15.00,1266,7.34,false,false,false,false
2024-09-01 00:50:00,50000,43.18,15.00,561,6.82,false,true,false,false
2024-09-01 00:52:00,52000,39.27,16.92,1038,7.66,false,false,false,false
2024-09-01 00:54:00,54000,37.39,15.00,1743,5.59,false,false,false,true
2024-09-01 00:56:00,56000,40.99,19.92,863,6.61,false,false,false,false
2024-09-01 00:58:00,58000,37.70,17.28,850,5.90,false,false,false,true
2024-09-01 01:00:00,60000,37.06,17.20,1625,7.32,false,false,false,false
2024-09-01 01:02:00,62000,27.17,15.32,1443,6.55,false,false,true,false
2024-09-01 01:04:00,64000,31.75,19.87,1497,7.55,false,false,false,false
2024-09-01 01:06:00,66000,35.49,16.41,1328,7.57,false,false,false,false
2024-09-01 01:08:00,68000,38.65,16.71,1497,7.77,false,false,false,false
2024-09-01 01:10:00,70000,44.66,18.15,967,6.86,false,false,false,false
2024-09-01 01:12:00,72000,27.50,17.25,583,6.86,false,false,false,false
2024-09-01 01:14:00,74000,30.14,16.38,1227,6.76,false,false,false,false
2024-09-01 01:16:00,76000,33.28,15.32,1725,6.17,false,false,false,false
2024-09-01 01:18:00,78000,38.04,15.00,793,5.99,false,false,false,true
